X,Y,Comment,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,Point_ID
-118.973397444373,45.0319833381738,,Real-time SBAS Corrected,2022/06/27,07:59:58am,Point_generic,BCCN1NEW.cor,"702","702","2216",140416.000,890.246,1.0,0.6,0.693181,"45.031983338","-118.973397444","1"
-118.976782112022,45.0330773021129,,Real-time SBAS Corrected,2022/06/27,11:15:58am,Point_generic,BCCN2.cor,"490","490","2216",152176.000,862.806,0.3,0.2,0.139358,"45.033077302","-118.976782112","2"
-118.968734860145,45.0596250534525,,Real-time SBAS Corrected,2022/06/24,02:29:34pm,Point_generic,BCCS1.cor,"564","564","2215",509392.000,903.079,0.7,0.6,0.344111,"45.059625053","-118.968734860","3"
-118.96485203071,45.0648313531757,,Postprocessed Code,2022/06/24,11:20:36am,Point_generic,BCCS2.cor,"252","252","2215",498054.000,1079.648,0.6,0.4,0.099836,"45.064831353","-118.964852031","4"
-118.960813221732,45.0542791542941,,Real-time SBAS Corrected,2022/06/25,02:45:29pm,Point_generic,BCCS4.cor,"484","484","2215",596747.000,1060.247,0.9,0.6,0.191378,"45.054279154","-118.960813222","5"
-118.99171305086,45.0095179787314,,L1  Postprocessed Carrier Float,2022/06/23,09:22:21am,Point_generic,BCCS5.cor,"1166","1166","2215",404559.000,868.321,0.2,0.1,0.040482,"45.009517979","-118.991713051","6"
-118.972919256653,45.0293150932698,,Real-time SBAS Corrected,2022/06/26,11:58:32am,Point_generic,BCN2.cor,"232","232","2216",68330.000,925.021,0.7,0.3,0.100363,"45.029315093","-118.972919257","7"
-118.970036569169,45.0310331165383,,Real-time SBAS Corrected,2022/06/26,01:29:19pm,Point_generic,BCN3.cor,"368","368","2216",73777.000,1019.465,0.9,0.8,0.692539,"45.031033117","-118.970036569","8"
-118.974648659833,45.0462832479976,,Real-time SBAS Corrected,2022/06/22,02:48:29pm,Point_generic,BCN4.cor,"1317","1317","2215",337727.000,1102.969,0.5,0.5,0.091016,"45.046283248","-118.974648660","9"
-118.975480973057,45.0495741894823,,Postprocessed Code,2022/06/25,10:41:59am,Point_generic,BCN6.cor,"1008","1008","2215",582137.000,892.788,0.2,0.1,0.061894,"45.049574189","-118.975480973","10"
-118.976379851672,45.031612931714,,Postprocessed Code,2022/06/27,10:13:49am,Point_generic,BCN7.cor,"549","549","2216",148447.000,938.703,0.4,0.2,0.581148,"45.031612932","-118.976379852","11"
-118.977079380801,45.0306993465959,,Postprocessed Code,2022/06/27,09:12:02am,Point_generic,BCN8.cor,"511","511","2216",144740.000,988.417,0.5,0.4,0.261083,"45.030699347","-118.977079381","12"
-118.963112553378,45.0545211633282,,Postprocessed Code,2022/06/25,04:24:06pm,Point_generic,BCN10.cor,"338","338","2215",602664.000,1005.154,2.4,1.2,71.949905,"45.054521163","-118.963112553","13"
-118.981536420815,45.0223712790762,,Real-time SBAS Corrected,2022/06/23,01:49:14pm,Point_generic,BCN11.cor,"795","795","2215",420572.000,931.891,0.9,0.8,1.630031,"45.022371279","-118.981536421","14"
-118.989934816605,45.0121789817014,,Real-time SBAS Corrected,2022/06/23,10:37:09am,Point_generic,BCN12.cor,"755","755","2215",409047.000,938.251,0.3,0.1,0.034344,"45.012178982","-118.989934817","15"
-118.973675396243,45.026788290169,,L1  Postprocessed Carrier Float,2022/06/26,08:42:31am,Point_generic,BCRS2.cor,"1135","1135","2216",56569.000,1015.765,0.2,0.1,0.029980,"45.026788290","-118.973675396","16"
-118.96909017872,45.0321026329374,,Real-time SBAS Corrected,2022/06/26,02:32:35pm,Point_generic,BCS3NEW.cor,"843","843","2216",77573.000,948.770,0.6,0.5,0.496961,"45.032102633","-118.969090179","17"
-118.974328997213,45.0440960660245,,Real-time SBAS Corrected,2022/06/22,01:12:10pm,Point_generic,BCS4.cor,"500","500","2215",331948.000,1109.111,0.6,0.5,0.243300,"45.044096066","-118.974328997","18"
-118.97388476574,45.0407543818302,,Real-time SBAS Corrected,2022/06/22,11:17:56am,Point_generic,BCS5.cor,"345","345","2215",325094.000,1103.035,0.6,0.4,0.074219,"45.040754382","-118.973884766","19"
-118.973792993707,45.0286011053825,,Postprocessed Code,2022/06/26,10:37:08am,Point_generic,BCS6.cor,"665","665","2216",63446.000,954.048,0.3,0.2,0.028611,"45.028601105","-118.973792994","20"
-118.963862868099,45.0625040352354,,Real-time SBAS Corrected,2022/06/24,12:51:37pm,Point_generic,BCS7NEW.cor,"796","796","2215",503515.000,977.573,0.6,0.5,0.206848,"45.062504035","-118.963862868","21"
-118.962573584908,45.0649070906005,,Postprocessed Code,2022/06/24,09:46:08am,Point_generic,BCS8NEW.cor,"163","163","2215",492386.000,1019.435,1.1,0.6,24.800747,"45.064907091","-118.962573585","22"
-118.964906875109,45.055987733975,,Real-time SBAS Corrected,2022/06/25,01:14:30pm,Point_generic,BCS10NEW.cor,"451","451","2215",591288.000,941.919,0.6,0.6,0.441884,"45.055987734","-118.964906875","23"
